"","gene","pval.methgroup"
"139","Pocillopora_acuta_HIv2___RNAseq.g27889.t1",0.0332327978690588
"140","Pocillopora_acuta_HIv2___RNAseq.g27890.t1",0.0473029371871342
"141","Pocillopora_acuta_HIv2___RNAseq.g27891.t1",0.357383273151127
"142","Pocillopora_acuta_HIv2___RNAseq.g27920.t1",4.54984689790533e-07
"143","Pocillopora_acuta_HIv2___TS.g10685.t1",0.00347651483279518
"144","Pocillopora_acuta_HIv2___RNAseq.g27928.t1",0.184191206931994
"145","Pocillopora_acuta_HIv2___RNAseq.g27932.t1",7.03367823986053e-07
"146","Pocillopora_acuta_HIv2___RNAseq.g27935.t1",2.11261886537797e-09
"147","Pocillopora_acuta_HIv2___TS.g10701.t3",1.81857932744985e-06
"148","Pocillopora_acuta_HIv2___TS.g10710.t2",0.436105727765412
"149","Pocillopora_acuta_HIv2___TS.g10713.t1",0.258535368645476
"150","Pocillopora_acuta_HIv2___TS.g10722.t1",0.177422161768108
"151","Pocillopora_acuta_HIv2___RNAseq.g27961.t1",0.0276934121034049
"152","Pocillopora_acuta_HIv2___TS.g10727.t1",0.965346845933921
"153","Pocillopora_acuta_HIv2___RNAseq.g27966.t1",0.377657511644
"154","Pocillopora_acuta_HIv2___RNAseq.g27972.t1",0.163051039245663
"155","Pocillopora_acuta_HIv2___RNAseq.g27973.t1",0.801750400996732
"156","Pocillopora_acuta_HIv2___RNAseq.g27978.t1",0.00616691261765636
"157","Pocillopora_acuta_HIv2___RNAseq.g27984.t1",0.000217108924058624
"158","Pocillopora_acuta_HIv2___TS.g10751.t1",0.613180539239086
"159","Pocillopora_acuta_HIv2___RNAseq.g27988.t2",0.435895132620913
"160","Pocillopora_acuta_HIv2___TS.g10759.t1",3.65370267576751e-09
"161","Pocillopora_acuta_HIv2___RNAseq.g27995.t1",3.27778521686078e-122
"162","Pocillopora_acuta_HIv2___TS.g10764.t1",7.52063187137113e-133
"163","Pocillopora_acuta_HIv2___TS.g10781.t1",4.64762461930352e-274
"164","Pocillopora_acuta_HIv2___RNAseq.g28017.t1",6.50543830084959e-112
"165","Pocillopora_acuta_HIv2___RNAseq.g28028.t1",3.49322420204087e-07
"166","Pocillopora_acuta_HIv2___RNAseq.g28029.t1",0.00130529722884215
"167","Pocillopora_acuta_HIv2___RNAseq.g28030.t1",0.142190004400666
"168","Pocillopora_acuta_HIv2___RNAseq.g28031.t2",0.0185234270481912
"169","Pocillopora_acuta_HIv2___RNAseq.g28033.t1",0.0235391304440483
"170","Pocillopora_acuta_HIv2___TS.g10811.t1",0.0201347975702394
"171","Pocillopora_acuta_HIv2___RNAseq.g28036.t2",1.20684530529385e-05
"172","Pocillopora_acuta_HIv2___RNAseq.g28045.t1",0.551403641173045
"173","Pocillopora_acuta_HIv2___RNAseq.641_t",0.227570463366244
"174","Pocillopora_acuta_HIv2___RNAseq.g28047.t1",0.723314837644604
"175","Pocillopora_acuta_HIv2___RNAseq.g28048.t1",0.627069781851796
"176","Pocillopora_acuta_HIv2___TS.g10825.t1",1.04600005636249e-05
"177","Pocillopora_acuta_HIv2___RNAseq.g28053.t1",0.238813005934538
"178","Pocillopora_acuta_HIv2___RNAseq.g28055.t2a",0.115413734112132
"179","Pocillopora_acuta_HIv2___TS.g10828.t1",0.0058453983551951
"180","Pocillopora_acuta_HIv2___RNAseq.g28059.t1",3.2028864216284e-18
"181","Pocillopora_acuta_HIv2___RNAseq.g28061.t1",0.0320340954097922
"182","Pocillopora_acuta_HIv2___RNAseq.g28066.t1",1.78969543364483e-11
"183","Pocillopora_acuta_HIv2___RNAseq.g28068.t1",8.58518562810207e-94
"184","Pocillopora_acuta_HIv2___RNAseq.665_t",0.253679886210965
"185","Pocillopora_acuta_HIv2___TS.g10847.t1",0.248904629797694
"186","Pocillopora_acuta_HIv2___RNAseq.g28071.t1",0.035250431275835
"187","Pocillopora_acuta_HIv2___TS.g10853.t1",1.01812644602014e-16
"188","Pocillopora_acuta_HIv2___RNAseq.g28077.t1",0.15730998812051
"189","Pocillopora_acuta_HIv2___RNAseq.g28079.t1",0.874736519406445
"190","Pocillopora_acuta_HIv2___RNAseq.g28081.t1",0.778851579628927
"191","Pocillopora_acuta_HIv2___RNAseq.g28083.t1",0.128652003477367
"192","Pocillopora_acuta_HIv2___RNAseq.g28084.t1",0.241060422253762
"193","Pocillopora_acuta_HIv2___TS.g10863.t1",0.71545994729174
"194","Pocillopora_acuta_HIv2___RNAseq.g28086.t1",0.166349080004516
"195","Pocillopora_acuta_HIv2___TS.g10866.t1",0.00056405762160988
"196","Pocillopora_acuta_HIv2___TS.g10867.t1b",0.798964045335839
"197","Pocillopora_acuta_HIv2___TS.g10867.t1a",0.16011143337654
"198","Pocillopora_acuta_HIv2___RNAseq.g28091.t1",0.482537221457034
"199","Pocillopora_acuta_HIv2___RNAseq.g28092.t1",0.0277313864523546
"200","Pocillopora_acuta_HIv2___RNAseq.g28105.t1",9.22109226121595e-115
"201","Pocillopora_acuta_HIv2___RNAseq.g28106.t1a",0.974710186008727
"202","Pocillopora_acuta_HIv2___RNAseq.g28108.t1",0.00621764367705469
"203","Pocillopora_acuta_HIv2___RNAseq.g28109.t1",0.38250808478858
"204","Pocillopora_acuta_HIv2___TS.g10889.t1",0.0265585171673728
"205","Pocillopora_acuta_HIv2___RNAseq.g28115.t1",0.230317096998771
"206","Pocillopora_acuta_HIv2___RNAseq.g28133.t1",0.183771464303497
"207","Pocillopora_acuta_HIv2___RNAseq.g28136.t1b",0.0165237000772861
"208","Pocillopora_acuta_HIv2___RNAseq.g28137.t1",6.91990099620734e-07
"209","Pocillopora_acuta_HIv2___RNAseq.g28140.t1b",0.437893720025894
"210","Pocillopora_acuta_HIv2___TS.g10922.t1b",0.021245634341281
"211","Pocillopora_acuta_HIv2___TS.g10923.t1",0.155026704832303
"212","Pocillopora_acuta_HIv2___RNAseq.g28144.t1",0.0172341600293407
"213","Pocillopora_acuta_HIv2___RNAseq.g28146.t1",0.111644123589245
"214","Pocillopora_acuta_HIv2___RNAseq.g28152.t1",0.00330907666408506
"215","Pocillopora_acuta_HIv2___TS.g10939.t1",0.0588361763561129
"216","Pocillopora_acuta_HIv2___RNAseq.g28158.t1",0.0168084833402937
"217","Pocillopora_acuta_HIv2___TS.g10942.t1",0.510416665069229
"218","Pocillopora_acuta_HIv2___RNAseq.g28161.t1",0.000202863283761298
"219","Pocillopora_acuta_HIv2___RNAseq.g28162.t1",0.452549655822166
"220","Pocillopora_acuta_HIv2___RNAseq.g28164.t1",5.49327992638251e-17
"221","Pocillopora_acuta_HIv2___RNAseq.g28168.t1",0.210701444783682
"222","Pocillopora_acuta_HIv2___RNAseq.g28172.t1",0.251004577861516
"223","Pocillopora_acuta_HIv2___RNAseq.g28176.t1",0.966430194512959
"224","Pocillopora_acuta_HIv2___RNAseq.g28179.t1",0.795459529441225
"225","Pocillopora_acuta_HIv2___RNAseq.g28180.t1",0.000252342284177868
"226","Pocillopora_acuta_HIv2___TS.g10964.t1",0.056356284991517
"227","Pocillopora_acuta_HIv2___TS.g10965.t1",0.00371100239050233
"228","Pocillopora_acuta_HIv2___RNAseq.g28187.t1",0.00703469553367304
"229","Pocillopora_acuta_HIv2___RNAseq.g28190.t1",0.0109822392091353
"230","Pocillopora_acuta_HIv2___RNAseq.g28192.t1",0.406583825678066
"231","Pocillopora_acuta_HIv2___RNAseq.g28193.t1",0.672988452852098
"232","Pocillopora_acuta_HIv2___RNAseq.g28195.t1",0.948742598199143
"233","Pocillopora_acuta_HIv2___RNAseq.g28197.t1",0.0118882901465089
"234","Pocillopora_acuta_HIv2___RNAseq.g28198.t1",0.0065511883807718
"235","Pocillopora_acuta_HIv2___RNAseq.g28199.t1",0.874930049101937
"236","Pocillopora_acuta_HIv2___RNAseq.g28202.t1",0.1270123260641
"237","Pocillopora_acuta_HIv2___TS.g10991.t1",0.458776586259465
"238","Pocillopora_acuta_HIv2___RNAseq.g28213.t1",2.93617898090249e-06
"239","Pocillopora_acuta_HIv2___RNAseq.g28214.t1",0.017700294625829
"240","Pocillopora_acuta_HIv2___RNAseq.g28215.t1",0.482872315648144
"241","Pocillopora_acuta_HIv2___RNAseq.g28216.t1",5.13252175954916e-06
"242","Pocillopora_acuta_HIv2___RNAseq.g28238.t1",0.25383354119595
"243","Pocillopora_acuta_HIv2___RNAseq.g28240.t1",0.0866528094665557
"244","Pocillopora_acuta_HIv2___RNAseq.g28241.t1",0.228094599412674
"245","Pocillopora_acuta_HIv2___TS.g11023.t1",4.34502855261351e-05
"246","Pocillopora_acuta_HIv2___RNAseq.g28244.t1",0.221944194032245
"247","Pocillopora_acuta_HIv2___RNAseq.g28251.t1",3.15470624807046e-09
"248","Pocillopora_acuta_HIv2___RNAseq.g28252.t1",0.119510499361559
"249","Pocillopora_acuta_HIv2___RNAseq.g28253.t1",1.397539516267e-12
"250","Pocillopora_acuta_HIv2___RNAseq.g28254.t1",0.698987734591764
"251","Pocillopora_acuta_HIv2___RNAseq.g28255.t1",0.00241435022913642
"252","Pocillopora_acuta_HIv2___RNAseq.g28257.t1",0.622030436929441
"253","Pocillopora_acuta_HIv2___RNAseq.g28260.t1",0.31546136983458
"254","Pocillopora_acuta_HIv2___RNAseq.g28261.t1",0.161309873473962
"255","Pocillopora_acuta_HIv2___TS.g11046.t1",0.0130562884253059
"256","Pocillopora_acuta_HIv2___RNAseq.g28263.t1",0.001667575900473
"257","Pocillopora_acuta_HIv2___RNAseq.g28268.t1",0.961413294824976
"258","Pocillopora_acuta_HIv2___RNAseq.g28270.t1",9.52284251444133e-31
"259","Pocillopora_acuta_HIv2___RNAseq.g28281.t1",0.4141130915769
"260","Pocillopora_acuta_HIv2___RNAseq.g28282.t1",0.00171389176482545
"261","Pocillopora_acuta_HIv2___RNAseq.g28283.t1",0.164296235081028
"262","Pocillopora_acuta_HIv2___RNAseq.g28289.t1b",0.126811683996428
"263","Pocillopora_acuta_HIv2___RNAseq.g28290.t1",2.13838998827317e-08
"264","Pocillopora_acuta_HIv2___RNAseq.g28293.t1",0.0849642437551834
"265","Pocillopora_acuta_HIv2___TS.g11078.t1",0.679428735736105
"266","Pocillopora_acuta_HIv2___RNAseq.g28295.t1",0.0188575853000297
"267","Pocillopora_acuta_HIv2___RNAseq.g28297.t1",0.121441443099124
"268","Pocillopora_acuta_HIv2___RNAseq.g28298.t1",0.502552006812312
"269","Pocillopora_acuta_HIv2___RNAseq.g28300.t1",0.240978487315264
"270","Pocillopora_acuta_HIv2___RNAseq.g28301.t1",0.030756784245217
"271","Pocillopora_acuta_HIv2___TS.g11087.t1",0.0247298306813309
"272","Pocillopora_acuta_HIv2___TS.g11089.t1",0.220176031092139
"273","Pocillopora_acuta_HIv2___RNAseq.925_t",0.202680294734494
"274","Pocillopora_acuta_HIv2___RNAseq.g28309.t1",1.28326148370878e-288
"275","Pocillopora_acuta_HIv2___RNAseq.g28310.t1",0
"276","Pocillopora_acuta_HIv2___RNAseq.g28315.t1",0.187233533124927
"277","Pocillopora_acuta_HIv2___RNAseq.g28327.t4",3.57589254408466e-12
"278","Pocillopora_acuta_HIv2___TS.g11111.t2",0.00175584926930302
"279","Pocillopora_acuta_HIv2___RNAseq.g28330.t1",0.86875732272148
"280","Pocillopora_acuta_HIv2___RNAseq.g28333.t1",0.784023515426197
"281","Pocillopora_acuta_HIv2___RNAseq.g28335.t1",0.963234865107552
"282","Pocillopora_acuta_HIv2___RNAseq.953_t",0.000904582711181916
"283","Pocillopora_acuta_HIv2___RNAseq.g28338.t1a",2.41168792621883e-08
"284","Pocillopora_acuta_HIv2___RNAseq.g28339.t1",0.0491908052372934
"285","Pocillopora_acuta_HIv2___TS.g11126.t1",0.0605696189291072
"286","Pocillopora_acuta_HIv2___RNAseq.g28347.t1",0.0740732843572137
"287","Pocillopora_acuta_HIv2___TS.g11135.t2",0.523548258798207
"288","Pocillopora_acuta_HIv2___RNAseq.g28353.t1",5.50817055237282e-13
"289","Pocillopora_acuta_HIv2___TS.g11147.t1",3.67835998279959e-42
"290","Pocillopora_acuta_HIv2___TS.g11148.t2",0.276295870556743
"291","Pocillopora_acuta_HIv2___RNAseq.g28362.t1",0.418246940689433
"292","Pocillopora_acuta_HIv2___RNAseq.g28365.t1",0.377964153237616
"293","Pocillopora_acuta_HIv2___RNAseq.g28369.t1",0.107952557202222
"294","Pocillopora_acuta_HIv2___RNAseq.g28377.t1",1.06127287837534e-06
"295","Pocillopora_acuta_HIv2___TS.g11174.t1a",0.0342670262548765
"296","Pocillopora_acuta_HIv2___TS.g11174.t1b",0.16094640269441
"297","Pocillopora_acuta_HIv2___TS.g11177.t1",0.178036206858334
"298","Pocillopora_acuta_HIv2___TS.g11182.t1",0.158776715738128
"299","Pocillopora_acuta_HIv2___RNAseq.g28397.t1",0.129638352385575
"300","Pocillopora_acuta_HIv2___RNAseq.g28398.t1",0.74409743912412
"301","Pocillopora_acuta_HIv2___RNAseq.g28399.t1",0.615946445528692
"302","Pocillopora_acuta_HIv2___RNAseq.g28400.t1",0.067707498030024
"303","Pocillopora_acuta_HIv2___TS.g11189.t1",1.44366901924009e-16
"304","Pocillopora_acuta_HIv2___RNAseq.1016_t",0.0986476045716866
"305","Pocillopora_acuta_HIv2___RNAseq.g28405.t1",0.461205482249186
"306","Pocillopora_acuta_HIv2___RNAseq.g28406.t1",0.914551235546217
"307","Pocillopora_acuta_HIv2___RNAseq.g28411.t1",0.144816165862831
"308","Pocillopora_acuta_HIv2___RNAseq.g28415.t1",0.490269339129126
"309","Pocillopora_acuta_HIv2___TS.g11206.t1",0.07060891214035
"310","Pocillopora_acuta_HIv2___TS.g11213.t1",0.0213446861021854
"311","Pocillopora_acuta_HIv2___TS.g11214.t1",0.739300223443863
"312","Pocillopora_acuta_HIv2___RNAseq.g28432.t1",2.34109879833601e-05
"313","Pocillopora_acuta_HIv2___RNAseq.g28433.t1",0.386877200847684
"314","Pocillopora_acuta_HIv2___RNAseq.g28434.t1",0.00180836077797507
"315","Pocillopora_acuta_HIv2___TS.g11221.t1",0.0383033006893271
"316","Pocillopora_acuta_HIv2___TS.g11233.t1",0.0998246677129648
"317","Pocillopora_acuta_HIv2___RNAseq.g28451.t1",0.842019947448892
"318","Pocillopora_acuta_HIv2___RNAseq.g28452.t1",0.461193293598103
"319","Pocillopora_acuta_HIv2___RNAseq.g28455.t1",4.68303582974723e-08
"320","Pocillopora_acuta_HIv2___RNAseq.g28457.t1",0.34094397668277
"321","Pocillopora_acuta_HIv2___RNAseq.g28459.t1",8.41442520534389e-39
"322","Pocillopora_acuta_HIv2___RNAseq.g28463.t1",7.08254313352177e-06
"323","Pocillopora_acuta_HIv2___RNAseq.g28464.t1",0.0531188539322178
"324","Pocillopora_acuta_HIv2___RNAseq.g28466.t1",0.00435520570407489
"325","Pocillopora_acuta_HIv2___RNAseq.g28467.t1",0.0813446605705641
"326","Pocillopora_acuta_HIv2___RNAseq.g28468.t1",0.0905534852948401
"327","Pocillopora_acuta_HIv2___RNAseq.g28469.t1",0.127938944917501
"328","Pocillopora_acuta_HIv2___RNAseq.g28473.t1",0.00135433946584098
"329","Pocillopora_acuta_HIv2___RNAseq.g28474.t1",0.392875026647991
"330","Pocillopora_acuta_HIv2___RNAseq.g28488.t2",0.137677552865228
"331","Pocillopora_acuta_HIv2___TS.g11273.t1",1.33245430551708e-09
"332","Pocillopora_acuta_HIv2___RNAseq.g28491.t1",0.00901636464346812
"333","Pocillopora_acuta_HIv2___RNAseq.g28495.t1",3.72014656429918e-08
"334","Pocillopora_acuta_HIv2___RNAseq.g28496.t1",0.56920587785222
"335","Pocillopora_acuta_HIv2___RNAseq.g28498.t1",2.13201843749763e-07
"336","Pocillopora_acuta_HIv2___TS.g11283.t1",0.504667972136737
