"","gene","adj.pval.methgroup"
"255","Pocillopora_acuta_HIv2___RNAseq.g10840.t1",0.04106472
"256","Pocillopora_acuta_HIv2___TS.g29013.t1b",0.00681433
"257","Pocillopora_acuta_HIv2___TS.g29044.t1",7.816e-05
"258","Pocillopora_acuta_HIv2___RNAseq.g10878.t1",0.02357647
"259","Pocillopora_acuta_HIv2___RNAseq.g10892.t2",0.00971417
"260","Pocillopora_acuta_HIv2___RNAseq.g10901.t1",1.198e-05
"261","Pocillopora_acuta_HIv2___RNAseq.g10911.t1",0.04681912
"262","Pocillopora_acuta_HIv2___RNAseq.g10920.t1",0
"263","Pocillopora_acuta_HIv2___RNAseq.g10926.t1",4.415e-05
"264","Pocillopora_acuta_HIv2___RNAseq.g10944.t1",0.01597547
"265","Pocillopora_acuta_HIv2___RNAseq.g10955.t1",0.04144015
"266","Pocillopora_acuta_HIv2___TS.g29131.t2",1.46e-06
"267","Pocillopora_acuta_HIv2___TS.g29132.t1",0.02805941
"268","Pocillopora_acuta_HIv2___RNAseq.2101_t",0.04622396
"269","Pocillopora_acuta_HIv2___RNAseq.g10965.t1",0.00562513
"270","Pocillopora_acuta_HIv2___RNAseq.g10984.t1",4.79e-06
"271","Pocillopora_acuta_HIv2___RNAseq.g10987.t1",0.03001405
"272","Pocillopora_acuta_HIv2___RNAseq.g10989.t1",0.00622701
"273","Pocillopora_acuta_HIv2___RNAseq.2137_t",0.00116875
"274","Pocillopora_acuta_HIv2___RNAseq.g11001.t1",0.00553396
"275","Pocillopora_acuta_HIv2___RNAseq.g11006.t1",0.00021092
"276","Pocillopora_acuta_HIv2___TS.g29187.t1",0.00170177
"277","Pocillopora_acuta_HIv2___RNAseq.g11016.t1",0.00647645
"278","Pocillopora_acuta_HIv2___RNAseq.g11039.t1",0.00164739
"279","Pocillopora_acuta_HIv2___RNAseq.g11042.t1",4.3e-07
"280","Pocillopora_acuta_HIv2___RNAseq.g11049.t1",0.04236433
"281","Pocillopora_acuta_HIv2___TS.g29244.t2a",0
"282","Pocillopora_acuta_HIv2___RNAseq.g11071.t3",0.00161265
"283","Pocillopora_acuta_HIv2___TS.g29246.t1",0.00301569
"284","Pocillopora_acuta_HIv2___RNAseq.g11074.t1",0.00606623
"285","Pocillopora_acuta_HIv2___RNAseq.g11075.t1",3.3e-07
"286","Pocillopora_acuta_HIv2___RNAseq.g11082.t1",4.383e-05
"287","Pocillopora_acuta_HIv2___TS.g29262.t1b",4.321e-05
"288","Pocillopora_acuta_HIv2___RNAseq.g11089.t1",3.787e-05
"289","Pocillopora_acuta_HIv2___RNAseq.g11128.t1",0.00022985
"290","Pocillopora_acuta_HIv2___TS.g29310.t1",0.0124254
"291","Pocillopora_acuta_HIv2___RNAseq.g11138.t1",0.00125655
"292","Pocillopora_acuta_HIv2___RNAseq.g11140.t1",0.00038899
"293","Pocillopora_acuta_HIv2___RNAseq.g11141.t1",0.0444167
"294","Pocillopora_acuta_HIv2___TS.g29320.t1",0.01268699
"295","Pocillopora_acuta_HIv2___RNAseq.g11162.t1",0.00863848
"296","Pocillopora_acuta_HIv2___RNAseq.g11173.t1",0.01854182
"297","Pocillopora_acuta_HIv2___RNAseq.g11182.t1",0
"298","Pocillopora_acuta_HIv2___RNAseq.g11190.t1",0.00374928
"299","Pocillopora_acuta_HIv2___RNAseq.g11200.t1",0.03950532
"300","Pocillopora_acuta_HIv2___RNAseq.g11211.t1",0.02223533
"301","Pocillopora_acuta_HIv2___RNAseq.g11214.t1",0.03243638
"302","Pocillopora_acuta_HIv2___TS.g29388.t1",0.04746562
"303","Pocillopora_acuta_HIv2___RNAseq.g11223.t1",0.01813134
"304","Pocillopora_acuta_HIv2___RNAseq.g11227.t1",0.04099809
"305","Pocillopora_acuta_HIv2___RNAseq.g11233.t1",5.384e-05
"306","Pocillopora_acuta_HIv2___TS.g29410.t1",0.00139141
"307","Pocillopora_acuta_HIv2___RNAseq.g11248.t1",0.00049158
"308","Pocillopora_acuta_HIv2___RNAseq.g11250.t1",0.01266861
"309","Pocillopora_acuta_HIv2___RNAseq.g11251.t1",0.02027956
"310","Pocillopora_acuta_HIv2___RNAseq.g11258.t1",0.00562176
"311","Pocillopora_acuta_HIv2___RNAseq.2393_t",0.00919733
"312","Pocillopora_acuta_HIv2___RNAseq.g11286.t1",0.00444437
"313","Pocillopora_acuta_HIv2___RNAseq.g11292.t1",1.38e-06
"314","Pocillopora_acuta_HIv2___RNAseq.g11304.t1",0.03521785
"315","Pocillopora_acuta_HIv2___RNAseq.g11307.t2",0.00580547
"316","Pocillopora_acuta_HIv2___RNAseq.g11311.t1",0
"317","Pocillopora_acuta_HIv2___RNAseq.g11313.t1",0
"318","Pocillopora_acuta_HIv2___TS.g29488.t2",0.04590098
"319","Pocillopora_acuta_HIv2___RNAseq.g11317.t1",0.01159478
"320","Pocillopora_acuta_HIv2___RNAseq.g11321.t1",0.00023954
"321","Pocillopora_acuta_HIv2___RNAseq.g11333.t1",0.01229726
"322","Pocillopora_acuta_HIv2___RNAseq.g11334.t1b",0
"323","Pocillopora_acuta_HIv2___RNAseq.2472_t",0.0385619
"324","Pocillopora_acuta_HIv2___RNAseq.g11346.t1",0
"325","Pocillopora_acuta_HIv2___RNAseq.g11347.t1",4.93e-06
"326","Pocillopora_acuta_HIv2___RNAseq.g11350.t1",0
